div,key,team1,team2,date,FTR,team1_home_win,team1_home_draw,team1_away_win,team1_away_draw,team1_home_goals,team1_away_goals,team1_home_goals_conceded,team1_away_goals_conceded,team1_home_shots,team1_away_shots,team1_home_shots_target,team1_away_shots_target,team1_home_corners,team1_away_corners,team1_home_fouls,team1_away_fouls,team1_home_foul_points,team1_away_foul_points,team1_form,team2_home_win,team2_home_draw,team2_away_win,team2_away_draw,team2_home_goals,team2_away_goals,team2_home_goals_conceded,team2_away_goals_conceded,team2_home_shots,team2_away_shots,team2_home_shots_target,team2_away_shots_target,team2_home_corners,team2_away_corners,team2_home_fouls,team2_away_fouls,team2_home_foul_points,team2_away_foul_points,team2_form,Bsay n365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx_2.5,BbAv_2.5,BbMx_2.5,BbAv_2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,home_team_overall,away_team_overall
2639,Burnley_Stoke_2015-05-16,21,4,2015-05-16,D,0.289473684210526,0.31578947368421,0.081081081081081,0.162162162162162,1.02631578947368,0.810810810810811,1.34210526315789,2.27027027027027,11.7894736842105,10.2972972972973,4.92105263157895,5.81578947368421,5,4.89473684210526,11.0263157894737,11.2162162162162,31.7852062588905,2.7027027027027,10,0.454545454545455,0.295454545454546,0.172932330827068,0.285714285714286,1.33333333333333,0.744360902255639,1.01515151515152,1.58646616541353,11.4772727272727,8.45864661654135,4.82575757575758,5.5,5.51515151515152,5.04545454545455,11.75,12.1503759398496,37.7967646388699,4.33612440191388,15,2.7,3.3,2.88,2.65,3.2,2.65,2.75,3.3,2.4,2.62,3.3,2.9,2.61,3.39,2.92,2.7,3.1,2.7,0,0,0,2.63,3.25,3,45,2.8,2.59,3.4,3.23,3,2.82,42,2.29,2.18,1.73,1.67,28,0,1.9,1.83,2.1,2.02,2.55,3.31,3.06,0,0,0,77,65,73,79,68,72,74,68,68,72,68,67,65,79,72,61,65,57,74,59,72,73,512,429
52,Fulham_West Ham_2008-09-27,8,13,2008-09-27,A,0.666666666666667,0,0,0,1.33333333333333,0.5,1,1.5,14.3333333333333,11.5,7,7.66666666666667,5,5,14.6666666666667,10,23.3333333333333,8.33333333333333,6,1,0,0.333333333333333,0,3,1.33333333333333,1,2.33333333333333,12.6666666666667,13.3333333333333,6.66666666666667,8,6,6.66666666666667,12,15.6666666666667,26.6666666666667,8.33333333333333,12,2.3,3.25,3.2,2.28,3.1,2.95,2.25,3.2,3.1,2.2,3.1,3,2.25,3.25,3.25,2.25,3.2,2.9,2.25,3.25,3.25,2.3,3.25,3.2,2.3,3.3,3.25,2.25,3.2,3.1,45,2.38,2.27,3.3,3.23,3.35,3.06,37,1.96,1.88,1.96,1.84,23,0,1.68,1.65,2.38,2.17,58,65,62,61,73,67,72,58,73,59,65,67,75,75,72,71,66,68,66,63,58,78,384,449
1799,Aston Villa_Man City_2013-03-04,15,16,2013-03-04,A,0.333333333333333,0.388888888888889,0.311111111111111,0.3,1.25555555555556,1.15555555555556,1.12222222222222,1.67777777777778,11.9777777777778,9.7,6.31111111111111,6.62222222222222,6.85555555555556,6.26666666666667,10.7444444444444,12,34.8888888888889,2.77777777777778,9,0.733333333333333,0.133333333333333,0.366666666666667,0.3,2.23333333333333,1.48888888888889,0.811111111111111,1.2,14.9444444444444,13.2,8.73333333333333,4.96666666666667,7.35555555555556,4.68888888888889,10.9111111111111,11.7222222222222,30.7777777777778,5.27777777777778,22,7.5,4.5,1.44,7.5,4.25,1.44,7.5,4.25,1.44,5.6,3.9,1.55,5.5,4.33,1.53,7.62,4.52,1.5,6,4.33,1.5,7,4.33,1.5,7,4.6,1.5,7,4,1.5,37,7.72,6.96,4.6,4.29,1.55,1.47,35,1.77,1.71,2.3,2.11,24,1,2.25,2.14,1.81,1.74,67,72,76,70,73,64,76,68,65,62,79,76,61,67,55,58,80,69,72,67,75,60,433,370
1664,Reading_Man United_2012-12-01,28,19,2012-12-01,A,0.142857142857143,0.571428571428571,0,0.285714285714286,1.71428571428571,1,2,1.85714285714286,10.1428571428571,10.8571428571429,5,6.28571428571429,6.57142857142857,5,7.85714285714286,9.42857142857143,21.4285714285714,0,13,0.855421686746988,0.072289156626506,0.55952380952381,0.238095238095238,2.59036144578313,1.70238095238095,0.783132530120482,0.928571428571429,17.9518072289157,13.0833333333333,10.7349397590361,4.89156626506024,7.80722891566265,3.32530120481928,10.0120481927711,10.3333333333333,29.5453241537579,3.8798049340218,24,7.5,4.75,1.4,7.75,4.4,1.4,7.75,4.4,1.4,7.2,3.8,1.4,8,4.5,1.4,7.75,4.83,1.46,8,4,1.44,7.5,4.8,1.4,8,4.8,1.44,7.5,4.5,1.4,40,8.5,7.46,5,4.49,1.47,1.42,32,1.65,1.58,2.52,2.32,26,1.25,1.95,1.87,2.05,1.99,75,63,84,69,73,68,58,77,77,77,78,73,67,59,75,69,71,72,72,81,77,61,463,420
2710,Aston Villa_West Brom_2015-09-19,15,2,2015-09-19,A,0.316176470588235,0.338235294117647,0.301470588235294,0.257352941176471,1.22794117647059,1.08088235294118,1.22794117647059,1.67647058823529,12.0367647058824,9.88970588235294,5.58823529411765,5.90441176470588,6.20588235294118,5.97794117647059,10.875,11.9779411764706,36.1029411764706,3.30882352941176,11,0.35042735042735,0.256410256410256,0.222222222222222,0.273504273504274,1.35897435897436,0.991452991452992,1.44444444444444,1.65811965811966,13.5726495726496,11.034188034188,6.44444444444444,5.68376068376068,5.85470085470085,4.73504273504274,10.4871794871795,11.0598290598291,32.3076923076923,3.41880341880342,18,2.3,3.25,3.5,2.3,3.1,3.25,2.3,3.2,3,2.3,3.25,3.3,2.32,3.23,3.57,2.3,3.2,3.2,2.3,3.2,3.6,40,2.33,2.28,3.27,3.2,3.6,3.36,33,2.48,2.37,1.61,1.57,24,-0.25,1.98,1.93,1.98,1.93,2.4,3.18,3.46,0,0,0,0,0,0,67,66,83,72,56,64,54,73,72,57,62,62,72,73,75,70,72,76,71,61,72,68,433,438
250,Aston Villa_Chelsea_2009-02-21,15,17,2009-02-21,A,0.384615384615385,0.461538461538462,0.769230769230769,0,1.38461538461538,1.69230769230769,1,0.923076923076923,12.5384615384615,8.76923076923077,7.07692307692308,5.53846153846154,7.07692307692308,5.46153846153846,10.2307692307692,12.8461538461538,30,1.92307692307692,25,0.461538461538462,0.384615384615385,0.692307692307692,0.153846153846154,1.61538461538462,1.84615384615385,0.538461538461538,0.615384615384615,20,14.4615384615385,11.0769230769231,3.69230769230769,7.15384615384615,3.07692307692308,10.8461538461538,11.7692307692308,31.5384615384615,5.76923076923077,20,3.3,3.3,2.25,3.05,3.15,2.2,3.2,3.25,2.2,3.1,3.1,2.3,2.88,3,2.25,3,3.2,2.2,3.3,3.3,2.2,3,3.25,2.38,3.1,3.25,2.25,3.4,3.2,2.25,40,3.61,3.2,3.4,3.23,2.3,2.22,35,2.38,2.18,1.7,1.62,22,0,2.4,2.28,1.63,1.58,67,68,70,74,66,72,70,73,61,68,62,64,67,59,59,58,68,58,82,75,60,72,433,389
998,Birmingham_Man City_2011-02-02,23,16,2011-02-02,D,0.354838709677419,0.516129032258065,0.2,0.233333333333333,1,1,0.838709677419355,1.8,10.1612903225806,8.86666666666667,5.16129032258065,6.58064516129032,5.19354838709677,6.48387096774194,10.2903225806452,10.6333333333333,35.1075268817204,1.61290322580645,16,0.64,0.14,0.274509803921569,0.352941176470588,1.98,1.3921568627451,0.96,1.35294117647059,13.46,11.5294117647059,7.62,5.3,7.2,5.26,11.28,11.7058823529412,30.0156862745098,5.46078431372549,22,4.5,3.5,1.83,4.2,3.4,1.83,4.25,3.3,1.85,4,3.4,1.8,4,3.4,1.91,4,3.4,1.8,4.33,3.5,1.85,4.5,3.6,1.83,4.6,3.6,1.85,4.2,3.4,1.83,34,4.73,4.37,3.62,3.42,1.9,1.84,31,2.11,2,1.83,1.77,20,0.5,2.06,2.01,1.89,1.86,64,55,66,69,65,73,72,76,68,67,73,76,83,68,69,65,73,59,75,72,60,61,509,370
1362,Swansea_Chelsea_2012-01-31,27,17,2012-01-31,D,0.416666666666667,0.5,0.090909090909091,0.272727272727273,1.33333333333333,0.727272727272727,0.583333333333333,1.90909090909091,10.9166666666667,8.72727272727273,6,6.66666666666667,6.08333333333333,5.66666666666667,8.41666666666667,8.18181818181818,26.969696969697,2.27272727272727,17,0.720588235294118,0.161764705882353,0.521739130434783,0.231884057971014,2.41176470588235,1.69565217391304,0.808823529411765,0.869565217391304,18.5441176470588,16.1739130434783,10.2058823529412,4.5,6.94117647058824,3.58823529411765,10.6911764705882,11.2753623188406,31.4876385336743,4.73145780051151,22,4,3.25,2,4.1,3.4,1.88,3.75,3.25,2,3.8,3.4,1.85,4.2,3.3,1.91,4.2,3.4,1.85,3.75,3.3,2,3.9,3.4,2,4.2,3.3,2.05,3.9,3.25,2,40,4.5,4.14,3.4,3.29,2.04,1.96,36,2.18,2.05,1.8,1.76,19,0.5,1.94,1.9,2.03,1.99,67,67,66,61,63,70,75,60,62,67,72,64,67,66,79,64,70,70,73,69,71,68,376,389
2207,Crystal Palace_Chelsea_2014-03-29,31,17,2014-03-29,H,0.4375,0.125,0.133333333333333,0.133333333333333,0.875,0.4,1.125,1.4,11.75,10.2,4,3.75,5.1875,5.5,11.0625,10,28.5833333333333,3.33333333333333,16,0.720720720720721,0.18018018018018,0.486486486486487,0.234234234234234,2.35135135135135,1.63063063063063,0.792792792792793,0.990990990990991,18.5495495495495,15.045045045045,9.79279279279279,4.64864864864865,7.02702702702703,3.9009009009009,10.7027027027027,10.9189189189189,30.4504504504504,4.27927927927928,22,10,4.75,1.4,7.5,4.6,1.4,7.3,4.4,1.4,7.5,4.33,1.44,9.63,4.47,1.44,10,3.75,1.44,9,4.33,1.4,9.5,4.5,1.44,49,10.5,8.8,4.77,4.32,1.45,1.41,46,2.14,2.03,1.85,1.77,27,1,2.3,2.18,1.76,1.71,9.52,4.79,1.42,0,0,0,76,84,78,72,74,78,70,76,60,76,67,64,66,75,59,64,79,77,66,68,69,71,470,389
1330,Blackburn_Stoke_2012-01-02,6,4,2012-01-02,A,0.373134328358209,0.298507462686567,0.17910447761194,0.253731343283582,1.26865671641791,1.05970149253731,1.16417910447761,2.07462686567164,12.4029850746269,9.2089552238806,6.44776119402985,6.37313432835821,4.8955223880597,5.59701492537313,12.7611940298507,12.8805970149254,36.1194029850746,4.47761194029851,10,0.462686567164179,0.283582089552239,0.194029850746269,0.238805970149254,1.35820895522388,0.73134328358209,0.970149253731343,1.74626865671642,10.4925373134328,7.91044776119403,5.26865671641791,6.26865671641791,5.73134328358209,5.22388059701493,11.7014925373134,11.7761194029851,36.865671641791,4.1044776119403,19,2.5,3.25,2.88,2.45,3.3,2.8,2.4,3.3,2.8,2.55,3.1,2.55,2.37,3.25,3,2.4,3.3,2.85,2.45,3.2,2.5,2.4,3.3,3,2.5,3.4,2.88,2.38,3.3,2.88,38,2.6,2.49,3.46,3.27,3,2.82,39,1.97,1.88,1.98,1.89,19,0,2.2,1.83,2.1,2,65,77,77,75,78,57,82,79,56,81,61,73,73,69,79,79,79,71,65,63,75,74,501,429
